Station No,Road Link,Location,AADT,AADT excluding MC & Rickshaws,AADT in PCUs,AADT in PCUs excluding MC & Rickshaws,Year,More info
80,F03401,Malekhu North,1162,566,1286,989,2014/015,view detail
80,F03401,Malekhu North,888,460,1000,786,2015/016,view detail
80,F03401,Malekhu North,1502,831,1949,1614,2016/017,view detail
80,F03401,Malekhu North,2073,1015,2197,1668,2018/019,view detail
80,NH43-001,Malekhu North,1825,848,1947,1458,2020/021,view detail
80,NH43-001,Malekhu North,1827,826,2009,1509,2021/022,view detail
81,F02106,Ranipauwa,825,379,905,682,2011/012,view detail
81,F02106,Ranipauwa,732,349,803,612,2012/013,view detail
81,F02106,Ranipauwa,907,452,1110,883,2014/015,view detail
81,F02106,Ranipauwa,767,370,918,719,2015/016,view detail
81,F02106,Ranipauwa,676,205,593,358,2016/017,view detail
81,F02106,Ranipauwa,1474,407,1204,670,2018/019,view detail
81,NH18-004,Ranipauwa,625,172,500,274,2020/021,view detail
81,NH18-004,Ranipauwa,343,107,327,209,2021/022,view detail
82,F00801,Bardhaghat South,1884,816,2201,1615,2011/012,view detail
82,F00801,Bardhaghat South,1536,509,1446,896,2012/013,view detail
82,F00801,Bardhaghat South,2109,861,2132,1503,2014/015,view detail
82,F00801,Bardhaghat South,1839,730,1909,1325,2015/016,view detail
82,F00801,Bardhaghat South,5373,2149,4799,3181,2016/017,view detail
82,F00801,Bardhaghat South,5805,2042,4379,2497,2018/019,view detail
82,F00801,Bardhaghat South,7352,3299,6017,3991,2020/021,view detail
82,F00801,Bardhaghat South,6297,2852,5093,3367,2021/022,view detail
83,H0141,Bardhaghat West,5048,3243,8911,7956,2011/012,view detail
83,H0141,Bardhaghat West,4771,2821,7621,6619,2012/013,view detail
83,H0141,Bardhaghat West,6389,3676,9296,7931,2014/015,view detail
83,H0141,Bardhaghat West,5276,3101,8170,7058,2015/016,view detail
83,H0141,Bardhaghat West,9098,5441,12979,11150,2016/017,view detail
83,H0141,Bardhaghat West,16989,9970,22510,18999,2018/019,view detail
83,NH01-042,Bardhaghat West,12681,7931,20669,18292,2020/021,view detail
83,NH01-042,Bardhaghat West,11542,7116,17982,15768,2021/022,view detail
84,F00901,Sunwal South,2394,893,2168,1380,2011/012,view detail
84,F00901,Sunwal South,1316,501,1379,938,2012/013,view detail
84,F00901,Sunwal South,1603,612,1588,1092,2014/015,view detail
84,F00901,Sunwal South,1584,601,1525,1018,2015/016,view detail
84,F00901,Sunwal South,3514,1263,3410,2125,2016/017,view detail
84,F00901,Sunwal South,7243,2091,5308,2731,2018/019,view detail
84,F00901,Sunwal South,9561,3160,7392,4171,2020/021,view detail
84,F00901,Sunwal South,7369,2385,5310,2816,2021/022,view detail
85,H0138,Gaidakot,7070,4080,10802,9187,2011/012,view detail
85,H0138,Gaidakot,8349,3516,9633,7073,2012/013,view detail
85,H0138,Gaidakot,9860,4223,10463,7567,2014/015,view detail
85,H0138,Gaidakot,8421,3861,9958,7570,2015/016,view detail
85,H0138,Gaidakot,13807,9516,18188,16033,2016/017,view detail
85,H0138,Gaidakot,29534,13259,28796,20616,2018/019,view detail
85,NH01-038,Gaidakot,24399,12450,29368,23393,2020/021,view detail
85,NH01-038,Gaidakot,23474,11445,27106,21064,2021/022,view detail
86,F04401,Bhairahawa West,2936,1813,4246,3677,2011/012,view detail
86,F04401,Bhairahawa West,2718,1011,3114,2197,2012/013,view detail
86,F04401,Bhairahawa West,7713,4264,10741,8835,2014/015,view detail
86,F04401,Bhairahawa West,3802,1360,3566,2330,2015/016,view detail
86,F04401,Bhairahawa West,10077,5795,14764,12589,2016/017,view detail
86,F04401,Bhairahawa West,13956,3128,8732,3225,2018/019,view detail
86,NH05-026,Bhairahawa West,13246,4247,12131,7630,2020/021,view detail
86,NH05-026,Bhairahawa West,16628,6068,17182,11898,2021/022,view detail
87,F04501,Lumbini West,1265,439,1315,897,2011/012,view detail
87,F04501,Lumbini West,1521,633,1774,1329,2012/013,view detail
87,F04501,Lumbini West,1611,900,1937,1581,2014/015,view detail
87,F04501,Lumbini West,1404,666,1602,1231,2015/016,view detail
87,F04501,Lumbini West,6703,4168,9059,7735,2016/017,view detail
87,F04501,Lumbini West,2657,751,2244,1291,2018/019,view detail
87,F04501,Lumbini West,4868,1090,3666,1776,2020/021,view detail
87,F04501,Lumbini West,6012,1745,5552,3409,2021/022,view detail
88,H0144,Butwal East,6400,3867,7829,6369,2011/012,view detail
88,H0144,Butwal East,6492,2392,6425,4136,2012/013,view detail
88,H0144,Butwal East,5418,3342,8400,6896,2014/015,view detail
88,H0144,Butwal East,8054,3655,9124,6900,2015/016,view detail
88,H0144,Butwal East,8177,5105,11676,10130,2016/017,view detail
88,H0144,Butwal East,21093,9265,19131,12916,2018/019,view detail
88,NH01-045,Butwal East,27255,11294,26302,18319,2020/021,view detail
88,NH01-045,Butwal East,15993,7877,18198,14139,2021/022,view detail
89,H1002,Butwal South,9539,5434,12629,10337,2011/012,view detail
89,H1002,Butwal South,5585,2130,6403,4503,2012/013,view detail
89,H1002,Butwal South,8926,5327,10978,9144,2014/015,view detail
89,H1002,Butwal South,16209,6854,17350,12632,2015/016,view detail
89,H1002,Butwal South,17911,9208,20391,16025,2016/017,view detail
89,H1002,Butwal South,43353,14393,34997,20517,2018/019,view detail
89,NH47-002,Butwal South,37653,13165,34275,22026,2020/021,view detail
89,NH47-002,Butwal South,40914,13624,33514,19868,2021/022,view detail
90,H0146,Butwal West,7480,4360,9809,7993,2011/012,view detail
90,H0146,Butwal West,10033,4901,11585,8540,2012/013,view detail
90,H0146,Butwal West,12290,5259,12897,9359,2014/015,view detail
90,H0146,Butwal West,13696,5145,13335,9043,2015/016,view detail
90,H0146,Butwal West,13538,6206,14816,11150,2016/017,view detail
90,H0146,Butwal West,14882,3923,10222,4742,2018/019,view detail
90,NH01-047,Butwal West,24389,9492,23630,16176,2020/021,view detail
90,NH01-047,Butwal West,26723,11062,25413,17583,2021/022,view detail
91,H1004,Butwal North,5509,3315,7416,6221,2011/012,view detail
91,H1004,Butwal North,3445,1854,4877,3991,2012/013,view detail
91,H1004,Butwal North,3479,2177,5922,5270,2014/015,view detail
91,H1004,Butwal North,4471,2403,6569,5505,2015/016,view detail
91,H1004,Butwal North,5028,2989,7313,6294,2016/017,view detail
91,H1004,Butwal North,12444,3336,9478,4912,2018/019,view detail
91,NH47-004,Butwal North,15835,6974,18377,13947,2020/021,view detail
91,NH47-004,Butwal North,15845,7211,18675,14357,2021/022,view detail
92,H0149,Jitpur West,2341,1505,3644,3218,2011/012,view detail
92,H0149,Jitpur West,2880,1700,4237,3635,2012/013,view detail
92,H0149,Jitpur West,3657,2063,4068,3272,2014/015,view detail
92,H0149,Jitpur West,2981,1660,3844,3178,2015/016,view detail
92,H0149,Jitpur West,6044,3471,8715,7428,2016/017,view detail
92,H0149,Jitpur West,6917,2243,5620,3283,2018/019,view detail
92,NH01-050,Jitpur West,12598,5544,14600,11073,2020/021,view detail
92,NH01-050,Jitpur West,11931,5427,13536,10284,2021/022,view detail
93,F01001,Jitpur South,1025,327,970,600,2011/012,view detail
93,F01001,Jitpur South,2027,582,1735,981,2012/013,view detail
93,F01001,Jitpur South,1208,592,1332,1024,2014/015,view detail
93,F01001,Jitpur South,1354,507,1317,882,2015/016,view detail
93,F01001,Jitpur South,2533,1168,2501,1795,2016/017,view detail
93,F01001,Jitpur South,3434,590,2070,648,2018/019,view detail
93,NH50-001,Jitpur South,6455,2040,5635,3427,2020/021,view detail
93,NH50-001,Jitpur South,6352,2088,5216,3082,2021/022,view detail
94,H0150,Gorusinge West,2090,1501,3728,3414,2011/012,view detail
94,H0150,Gorusinge West,3089,1854,5165,4547,2012/013,view detail
94,H0150,Gorusinge West,3865,2504,6321,5640,2014/015,view detail
94,H0150,Gorusinge West,2814,1821,4687,4187,2015/016,view detail
94,H0150,Gorusinge West,3595,2113,5243,4502,2016/017,view detail
94,H0150,Gorusinge West,8297,4974,13983,12322,2018/019,view detail
94,NH01-051,Gorusinge West,7467,4334,11381,9804,2020/021,view detail
94,NH01-051,Gorusinge West,7370,3996,10621,8933,2021/022,view detail
95,F01201,Chanauta South,2110,924,2712,1939,2011/012,view detail
95,F01201,Chanauta South,2913,1223,3722,2684,2012/013,view detail
95,F01201,Chanauta South,2920,1578,3545,2817,2014/015,view detail
95,F01201,Chanauta South,3069,1340,3596,2692,2015/016,view detail
95,F01201,Chanauta South,2809,1824,4158,3563,2016/017,view detail
95,F01201,Chanauta South,7492,2771,7572,5211,2018/019,view detail
95,F01201,Chanauta South,4043,1858,5785,4692,2020/021,view detail
95,F01201,Chanauta South,4752,2165,6592,5279,2021/022,view detail
96,H0151,Chanauta West,2758,1374,4020,3161,2011/012,view detail
96,H0151,Chanauta West,3776,2015,6004,4937,2012/013,view detail
96,H0151,Chanauta West,5193,2752,6177,4891,2014/015,view detail
96,H0151,Chanauta West,4164,2198,5546,4435,2015/016,view detail
96,H0151,Chanauta West,3810,2755,5487,4936,2016/017,view detail
96,H0151,Chanauta West,13601,6849,15536,12143,2018/019,view detail
96,NH01-052,Chanauta West,4044,1859,5786,4693,2020/021,view detail
96,NH01-052,Chanauta West,14803,7315,15912,12163,2021/022,view detail
97,F01102,Gorusinge North,481,280,595,494,2011/012,view detail
97,F01102,Gorusinge North,638,297,743,573,2012/013,view detail
97,F01102,Gorusinge North,1130,773,1543,1365,2014/015,view detail
97,F01102,Gorusinge North,781,493,1021,877,2015/016,view detail
97,F01102,Gorusinge North,303,181,425,364,2016/017,view detail
97,F01102,Gorusinge North,918,481,1235,1017,2018/019,view detail
97,NH51-002,Gorusinge North,13050,6643,14778,11574,2020/021,view detail
97,NH51-002,Gorusinge North,1822,976,2267,1844,2021/022,view detail
98,F04301,Tansen West,1467,808,1904,1574,2011/012,view detail
98,F04301,Tansen West,1386,785,1702,1401,2012/013,view detail
98,F04301,Tansen West,2743,944,2517,1617,2014/015,view detail
98,F04301,Tansen West,1907,802,1997,1445,2015/016,view detail
98,F04301,Tansen West,1842,1036,2041,1638,2016/017,view detail
98,F04301,Tansen West,2506,1004,2300,1549,2018/019,view detail
98,NH48-001,Tansen West,1745,1202,2500,2229,2020/021,view detail
98,NH48-001,Tansen West,2359,578,1560,670,2021/022,view detail
99,H1007,Bartung North,1310,749,1872,1591,2011/012,view detail
99,H1007,Bartung North,1019,532,1158,914,2012/013,view detail
99,H1007,Bartung North,1583,640,1637,1165,2014/015,view detail
99,H1007,Bartung North,1226,592,1426,1109,2015/016,view detail
99,H1007,Bartung North,1641,1067,2339,2052,2016/017,view detail
99,H1007,Bartung North,5044,2383,5258,3928,2018/019,view detail
99,NH47-007,Bartung North,2563,1317,3145,2522,2020/021,view detail
99,NH47-007,Bartung North,2370,1242,2841,2276,2021/022,view detail
100,F03601,Dumre North,1242,620,1723,1412,2011/012,view detail
100,F03601,Dumre North,1414,612,1741,1340,2012/013,view detail
100,F03601,Dumre North,2893,830,2499,1468,2014/015,view detail
100,F03601,Dumre North,1944,643,1801,1151,2015/016,view detail
100,F03601,Dumre North,3205,1341,3043,2111,2016/017,view detail
100,F03601,Dumre North,3150,1419,3072,2206,2018/019,view detail
100,NH25-001,Dumre North,9273,5235,11546,9527,2020/021,view detail
100,NH25-001,Dumre North,3931,1673,3823,2693,2021/022,view detail
101,F03501,Abukhaireni North,1201,537,1278,946,2011/012,view detail
101,F03501,Abukhaireni North,1538,656,1551,1110,2012/013,view detail
101,F03501,Abukhaireni North,1939,1236,2696,2344,2014/015,view detail
101,F03501,Abukhaireni North,1602,879,1990,1628,2015/016,view detail
101,F03501,Abukhaireni North,2404,1045,2379,1700,2016/017,view detail
101,F03501,Abukhaireni North,2217,1037,2300,1710,2018/019,view detail
101,NH44-006,Abukhaireni North,3030,1254,3022,2134,2020/021,view detail
101,NH44-006,Abukhaireni North,2941,1173,2653,1769,2021/022,view detail
102,H0411,Pokhara East,6514,5259,10808,10181,2011/012,view detail
102,H0411,Pokhara East,5640,3164,6898,5659,2012/013,view detail
102,H0411,Pokhara East,11463,7022,14675,12454,2014/015,view detail
102,H0411,Pokhara East,9499,6642,13841,12413,2015/016,view detail
102,H0411,Pokhara East,6763,4924,8543,7621,2016/017,view detail
102,H0411,Pokhara East,4009,2665,4834,4162,2018/019,view detail
102,NH17-011,Pokhara East,11523,5922,13628,10828,2020/021,view detail
102,NH17-011,Pokhara East,9362,5030,11073,8907,2021/022,view detail
103,H1012,Pokhara South,1320,1086,2285,2168,2011/012,view detail
103,H1012,Pokhara South,1815,1105,2321,1966,2012/013,view detail
103,H1012,Pokhara South,6157,2843,6084,4426,2014/015,view detail
103,H1012,Pokhara South,4680,2111,4452,3166,2015/016,view detail
103,H1012,Pokhara South,3954,1714,3562,2442,2016/017,view detail
103,H1012,Pokhara South,5668,2426,5143,3521,2018/019,view detail
103,NH47-012,Pokhara South,4058,1704,3769,2592,2020/021,view detail
103,NH47-012,Pokhara South,4184,1940,3938,2817,2021/022,view detail
104,F04101,Pokhara West,1189,555,1023,706,2011/012,view detail
104,F04101,Pokhara West,1319,734,1205,912,2012/013,view detail
104,F04101,Pokhara West,17392,6796,14907,9609,2014/015,view detail
104,F04101,Pokhara West,2463,905,1824,1045,2015/016,view detail
104,F04101,Pokhara West,2624,918,1956,1103,2016/017,view detail
104,F04101,Pokhara West,2509,848,1804,974,2018/019,view detail
104,F04101,Pokhara West,2701,739,1830,850,2020/021,view detail
104,F04101,Pokhara West,1806,375,1124,409,2021/022,view detail
105,F04202,Pokhara North,4116,2016,4135,3085,2011/012,view detail
105,F04202,Pokhara North,4952,2461,4837,3591,2012/013,view detail
105,F04202,Pokhara North,6713,3653,7317,5787,2014/015,view detail
105,F04202,Pokhara North,5371,2809,5645,4364,2015/016,view detail
105,F04202,Pokhara North,6251,2982,6174,4539,2016/017,view detail
105,F04202,Pokhara North,10632,5269,9786,7104,2018/019,view detail
105,F04202,Pokhara North,8252,3939,8311,6155,2020/021,view detail
105,F04202,Pokhara North,10369,4437,9380,6414,2021/022,view detail
106,F04204,Kusma West,1274,892,1935,1744,2011/012,view detail
106,F04204,Kusma West,1282,824,1646,1417,2012/013,view detail
106,F04204,Kusma West,2875,1267,2862,2056,2014/015,view detail
106,F04204,Kusma West,1899,979,2118,1657,2015/016,view detail
106,F04204,Kusma West,2826,1877,3490,3016,2016/017,view detail
106,F04204,Kusma West,2142,1254,2130,1686,2018/019,view detail
106,NH03-048,Kusma West,2916,1662,3403,2776,2020/021,view detail
106,NH03-048,Kusma West,2819,1597,3190,2579,2021/022,view detail
107,F01401,Chakchake East,188,88,207,157,2011/012,view detail
107,F01401,Chakchake East,382,202,487,397,2012/013,view detail
107,F01401,Chakchake East,494,211,563,422,2014/015,view detail
107,F01401,Chakchake East,383,185,465,365,2015/016,view detail
107,F01401,Chakchake East,133,89,220,198,2016/017,view detail
107,F01401,Chakchake East,1381,609,1571,1185,2018/019,view detail
107,NH09-026,Chakchake East,1373,625,1368,994,2020/021,view detail
107,NH09-026,Chakchake East,1288,549,1386,1016,2021/022,view detail
108,F01303,Chakchake North,243,113,273,207,2011/012,view detail
108,F01303,Chakchake North,417,218,561,461,2012/013,view detail
108,F01303,Chakchake North,471,183,480,335,2014/015,view detail
108,F01303,Chakchake North,361,160,415,314,2015/016,view detail
108,F01303,Chakchake North,167,124,304,282,2016/017,view detail
108,F01303,Chakchake North,1125,461,1016,684,2018/019,view detail
108,NH53-003,Chakchake North,1588,562,1412,899,2020/021,view detail
108,NH53-003,Chakchake North,1494,574,1357,897,2021/022,view detail
109,H0155,Bhalubang West,1925,1238,3057,2714,2011/012,view detail
109,H0155,Bhalubang West,2852,1699,4126,3549,2012/013,view detail
109,H0155,Bhalubang West,4620,2242,5810,4552,2014/015,view detail
109,H0155,Bhalubang West,3203,1764,4601,3855,2015/016,view detail
109,H0155,Bhalubang West,4452,2904,7253,6453,2016/017,view detail
109,H0155,Bhalubang West,5720,2495,6952,4931,2018/019,view detail
109,NH01-056,Bhalubang West,5964,3098,8515,7075,2020/021,view detail
109,NH01-056,Bhalubang West,5407,3028,8076,6886,2021/022,view detail
110,F01301,Bhalubang North,1046,428,1152,843,2011/012,view detail
110,F01301,Bhalubang North,1351,507,1399,977,2012/013,view detail
110,F01301,Bhalubang North,1051,577,1224,985,2014/015,view detail
110,F01301,Bhalubang North,1116,506,1225,920,2015/016,view detail
110,F01301,Bhalubang North,3080,1861,4091,3443,2016/017,view detail
110,F01301,Bhalubang North,3245,1132,3042,1985,2018/019,view detail
110,NH53-001,Bhalubang North,3043,1436,3222,2419,2020/021,view detail
110,NH53-001,Bhalubang North,3209,1461,3134,2256,2021/022,view detail
111,F01501,Lamahi North,1334,888,2148,1925,2011/012,view detail
111,F01501,Lamahi North,1694,1044,2761,2436,2012/013,view detail
111,F01501,Lamahi North,1934,1277,2901,2572,2014/015,view detail
111,F01501,Lamahi North,1627,1291,2377,2208,2015/016,view detail
111,F01501,Lamahi North,2586,1617,3843,3359,2016/017,view detail
111,F01501,Lamahi North,3513,1853,4000,3141,2018/019,view detail
111,NH54-002,Lamahi North,3508,1957,5442,4654,2020/021,view detail
111,NH54-002,Lamahi North,3141,1672,4456,3722,2021/022,view detail
112,F01505,Tulsipur East,3629,1277,3479,2222,2011/012,view detail
112,F01505,Tulsipur East,4542,1492,4405,2881,2012/013,view detail
112,F01505,Tulsipur East,4417,1486,4580,3112,2014/015,view detail
112,F01505,Tulsipur East,3975,1322,3958,2617,2015/016,view detail
112,F01505,Tulsipur East,3932,1580,4011,2835,2016/017,view detail
112,F01505,Tulsipur East,13007,4449,10935,6322,2018/019,view detail
112,NH09-032,Tulsipur East,16900,5559,12517,6847,2020/021,view detail
112,NH09-032,Tulsipur East,18650,6157,14131,7813,2021/022,view detail
113,H1101,Ameliya North,2471,855,2300,1463,2011/012,view detail
113,H1101,Ameliya North,634,337,800,652,2012/013,view detail
113,H1101,Ameliya North,415,288,648,584,2014/015,view detail
113,H1101,Ameliya North,809,581,982,866,2015/016,view detail
113,H1101,Ameliya North,666,501,1206,1123,2016/017,view detail
113,H1101,Ameliya North,1456,570,1394,951,2018/019,view detail
113,NH55-001,Ameliya North,1086,848,2176,2057,2020/021,view detail
113,NH55-001,Ameliya North,759,477,1051,910,2021/022,view detail
114,H0157,Ameliya West,1856,1362,3204,2957,2011/012,view detail
114,H0157,Ameliya West,2825,2053,4853,4467,2012/013,view detail
114,H0157,Ameliya West,2039,1685,3759,3582,2014/015,view detail
114,H0157,Ameliya West,1254,1063,2717,2622,2015/016,view detail
114,H0157,Ameliya West,1550,1260,3156,3010,2016/017,view detail
114,H0157,Ameliya West,1913,1095,2322,1860,2018/019,view detail
114,NH01-058,Ameliya West,2411,1987,5411,5199,2020/021,view detail
114,NH01-058,Ameliya West,2746,2094,5847,5522,2021/022,view detail
115,H1103,Tulsipur North,2465,806,2180,1295,2011/012,view detail
115,H1103,Tulsipur North,2740,904,2305,1387,2012/013,view detail
115,H1103,Tulsipur North,4767,1862,4806,3264,2014/015,view detail
115,H1103,Tulsipur North,3417,1250,3201,2078,2015/016,view detail
115,H1103,Tulsipur North,2103,1085,1902,1393,2016/017,view detail
115,H1103,Tulsipur North,5947,2217,4196,2331,2018/019,view detail
115,NH55-003,Tulsipur North,7831,3036,5857,3449,2020/021,view detail
115,NH55-003,Tulsipur North,8324,3288,6356,3830,2021/022,view detail
116,F04602,Nepalgunj West,2761,762,2397,1309,2011/012,view detail
116,F04602,Nepalgunj West,8958,1352,7756,2277,2012/013,view detail
116,F04602,Nepalgunj West,5798,1884,5145,3145,2014/015,view detail
116,F04602,Nepalgunj West,5905,3538,6381,4858,2015/016,view detail
116,F04602,Nepalgunj West,6873,2871,5247,3212,2016/017,view detail
116,F04602,Nepalgunj West,17121,3587,12652,3393,2018/019,view detail
116,NH05-034,Nepalgunj West,11418,3736,8398,4553,2020/021,view detail
116,NH05-034,Nepalgunj West,11005,3660,7736,4063,2021/022,view detail
117,H1204,Kohalpur South,8871,4867,12087,9575,2011/012,view detail
117,H1204,Kohalpur South,8792,2958,9494,5712,2012/013,view detail
117,H1204,Kohalpur South,5396,3374,7159,6061,2014/015,view detail
117,H1204,Kohalpur South,7100,4246,7727,6239,2015/016,view detail
117,H1204,Kohalpur South,14525,7032,13270,9438,2016/017,view detail
117,H1204,Kohalpur South,17499,6193,15666,9009,2018/019,view detail
117,NH58-004,Kohalpur South,24212,9608,20470,13168,2020/021,view detail
117,NH58-004,Kohalpur South,9374,5524,8356,6431,2020/021,view detail
117,NH58-004,Kohalpur South,27091,11439,22123,14297,2021/022,view detail
118,H0159,Kohalpur East,3814,1775,4952,3653,2011/012,view detail
118,H0159,Kohalpur East,4335,2235,6212,4901,2012/013,view detail
118,H0159,Kohalpur East,4018,2216,5041,4139,2014/015,view detail
118,H0159,Kohalpur East,3410,1834,4417,3519,2015/016,view detail
118,H0159,Kohalpur East,5639,3589,6937,5912,2016/017,view detail
118,H0159,Kohalpur East,4244,2728,6067,5310,2018/019,view detail
118,NH01-060,Kohalpur East,12217,6924,13698,11047,2020/021,view detail
118,NH01-060,Kohalpur East,10674,5652,11025,8512,2021/022,view detail
119,H0160,Kohalpur West,3087,1694,3977,3251,2011/012,view detail
119,H0160,Kohalpur West,3822,2104,5311,4420,2012/013,view detail
119,H0160,Kohalpur West,4594,2539,5622,4593,2014/015,view detail
119,H0160,Kohalpur West,3878,2178,4955,4089,2015/016,view detail
119,H0160,Kohalpur West,12573,8145,14732,12487,2016/017,view detail
119,H0160,Kohalpur West,10528,3153,9854,4944,2018/019,view detail
119,NH01-061,Kohalpur West,9570,5144,10434,8221,2020/021,view detail
119,NH01-061,Kohalpur West,11041,5879,11583,8998,2021/022,view detail
120,H1205,Kohalpur North,1108,387,1306,788,2011/012,view detail
120,H1205,Kohalpur North,1106,434,1284,820,2012/013,view detail
120,H1205,Kohalpur North,2940,1186,3170,2122,2014/015,view detail
120,H1205,Kohalpur North,3790,2228,4014,3182,2015/016,view detail
120,H1205,Kohalpur North,7300,4008,6269,4612,2016/017,view detail
120,H1205,Kohalpur North,12262,4061,10509,4353,2018/019,view detail
120,NH58-005,Kohalpur North,9768,5067,8348,5991,2021/022,view detail
